transaction_date,description,amount,vendor,department,gl_code
2024-08-26,Bank transfer received from PNC Financial,21519.85,PNC Financial,Engineering,1100
2024-06-07,Employee wages – pay period #3076,84311.3,ADP Payroll,Executive,5900
2024-08-20,Monthly retainer – Boston Consulting advisory,24243.23,Boston Consulting,HR,4200
2024-02-10,Stationery order #9676 from Quill,857.05,Quill,Executive,5100
2024-07-08,Performance bonus – sales rep #1738,12175.83,Sales Team,Engineering,5600
2024-06-30,Dividend declaration – Q4 distribution,74773.49,Internal,HR,3100
2024-01-04,Monthly retainer – Deloitte advisory,94118.09,Deloitte,Operations,4200
2024-10-29,Trade show booth – HubSpot expo,19800.83,HubSpot,Operations,5800
2024-09-19,Leasehold improvements amortization,751.0,Internal,Executive,6200
2024-12-26,Workers compensation insurance – AIG,3790.44,AIG,Engineering,6100
2024-06-23,Contractor payment – ADP Payroll,76487.48,ADP Payroll,Sales,5900
2024-04-29,Bi-weekly salary disbursement – Marketing,67145.9,Internal HR,Marketing,5900
2024-04-22,Bi-weekly salary disbursement – HR,90929.87,Gusto,HR,5900
2024-05-09,Tax preparation – Grant Thornton engagement,6046.31,Grant Thornton,IT,5500
2024-01-16,Performance bonus – sales rep #9915,24377.42,Sales Team,IT,5600
2024-01-02,HR consulting retainer – KPMG,43873.15,KPMG,IT,5500
2024-03-31,Leasehold improvements amortization,3455.31,Internal,Engineering,6200
2024-06-25,Hotel accommodation – Delta Airlines business trip,5378.87,Delta Airlines,Finance,5200
2024-09-23,Software renewal – Salesforce platform,12335.5,Salesforce,Operations,5400
2024-01-29,Prior period adjustment – retained earnings,171030.42,Internal,IT,3100
2024-07-10,Overtime compensation – Operations team,119420.08,Paychex,Operations,5900
2024-01-24,Monthly office rent – Regus building,25629.04,Regus,Operations,5700
2024-02-19,Retained earnings adjustment – FY closing,119711.27,Internal,HR,3100
2024-12-11,Vendor invoice from HP Inc – due net 30,18850.68,HP Inc,HR,2100
2024-07-03,Bulk materials procurement from McMaster-Carr,17402.25,McMaster-Carr,Sales,1300
2024-08-16,Monthly electricity bill – Comcast Business,2426.02,Comcast Business,Marketing,5300
2024-07-30,Developer tools subscription – Slack,11085.36,Slack,Operations,5400
2024-06-09,Overtime compensation – Legal team,27153.71,Paychex,Legal,5900
2024-12-02,Cloud hosting charges – Google Workspace,171.13,Google Workspace,Finance,5400
2024-08-24,Social media advertising – Meta Ads,742.42,Meta Ads,Legal,5800
2024-02-19,Stock replenishment order #4053,10872.13,Fastenal,Finance,1300
2024-10-28,Accounting & audit services – Grant Thornton,27726.85,Grant Thornton,Engineering,5500
2024-05-15,Stock replenishment order #6484,22640.79,Fastenal,Sales,1300
2024-02-22,Customer balance – Acme Corp Q2 billing,41085.7,Acme Corp,Legal,1200
2024-05-29,Monthly depreciation – office equipment,666.76,Internal,HR,6200
2024-03-24,Monthly payroll – Engineering department,115641.69,Paychex,Engineering,5900
2024-06-08,Bulk materials procurement from McMaster-Carr,56037.7,McMaster-Carr,Engineering,1300
2024-05-18,Telephone/VoIP charges – AT&T,1000.34,AT&T,Finance,5300
2024-10-23,Online sales revenue – batch #4675,111282.18,Amazon,IT,4100
2024-03-30,Desk accessories and organizers – W.B. Mason,2002.34,W.B. Mason,Operations,5100
2024-05-21,Retained earnings adjustment – FY closing,149003.68,Internal,Operations,3100
2024-02-05,D&O insurance policy – AIG,11324.3,AIG,Engineering,6100
2024-09-24,Per diem expenses – client visit United Airlines,5558.47,United Airlines,Sales,5200
2024-09-08,Legal consultation fee – Grant Thornton,42185.91,Grant Thornton,IT,5500
2024-04-15,Wire transfer deposit – Bank of America,8747.26,Bank of America,Executive,1100
2024-10-20,Depreciation – computer hardware Q4,3763.12,Internal,HR,6200
2024-12-02,Stationery order #6614 from W.B. Mason,1349.01,W.B. Mason,IT,5100
2024-12-09,Invoice #2864 – Pinnacle Industries payment pending,72850.4,Pinnacle Industries,Engineering,1200
2024-09-08,Water and sewage charges – ConEdison,2918.63,ConEdison,Engineering,5300
2024-04-25,Telephone/VoIP charges – ConEdison,2140.14,ConEdison,HR,5300
2024-09-06,ATM withdrawal for operations,39490.43,PNC Financial,Finance,1100
2024-02-16,Customer balance – Pinnacle Industries Q4 billing,64027.48,Pinnacle Industries,Sales,1200
2024-02-07,Cloud hosting charges – Jira Atlassian,14847.77,Jira Atlassian,IT,5400
2024-10-30,Trade show booth – Meta Ads expo,19115.66,Meta Ads,Legal,5800
2024-05-06,Natural gas utility – AT&T,1968.94,AT&T,Executive,5300
2024-11-12,Vehicle depreciation – fleet #1999,576.06,Internal,Operations,6200
2024-08-22,Revenue from Walmart – bulk purchase,26851.23,Walmart,Sales,4100
2024-04-30,Product licensing revenue from Home Depot,43077.84,Home Depot,Sales,4100
2024-02-08,AP entry – Staples supplies,19480.61,Staples,IT,2100
2024-11-18,Online sales revenue – batch #9852,116172.86,Home Depot,IT,4100
2024-01-01,Google Ads campaign – IT budget Q4,8003.81,Meta Ads,IT,5800
2024-10-17,Software renewal – Google Workspace platform,2381.3,Google Workspace,Sales,5400
2024-04-03,Parking facility lease – JLL,2069.3,JLL,Marketing,5700
2024-05-09,Leasehold improvements amortization,9549.52,Internal,Engineering,6200
2024-01-18,Desk accessories and organizers – Office Depot,2080.46,Office Depot,Engineering,5100
2024-02-23,Hotel accommodation – Hertz Rental business trip,1797.22,Hertz Rental,Engineering,5200
2024-01-28,Software renewal – Slack platform,13394.4,Slack,Executive,5400
2024-11-21,Monthly retainer – Deloitte advisory,80650.88,Deloitte,IT,4200
2024-05-23,ATM withdrawal for operations,48820.36,Chase Bank,Operations,1100
2024-12-18,Leasehold improvements amortization,3148.15,Internal,Legal,6200
2024-09-13,Annual license – Slack enterprise plan,9254.24,Slack,Finance,5400
2024-03-19,Property insurance renewal – State Farm,8199.13,State Farm,Operations,6100
2024-11-12,Overtime compensation – HR team,61255.01,Gusto,HR,5900
2024-06-30,Product sale to Walmart – order #9716,80965.63,Walmart,IT,4100
2024-10-16,Product licensing revenue from Target,16707.78,Target,IT,4100
2024-03-13,Email campaign platform – Mailchimp,11112.63,Mailchimp,Legal,5800
2024-09-07,Cyber liability insurance – State Farm,4855.25,State Farm,Marketing,6100
2024-04-13,Google Ads campaign – Sales budget Q2,6857.98,Google Ads,Sales,5800
2024-02-04,Vehicle depreciation – fleet #1974,8852.73,Internal,Sales,6200
2024-01-25,Content marketing services – Trade Show Inc,10357.16,Trade Show Inc,Operations,5800
2024-05-18,Monthly depreciation – office equipment,2529.01,Internal,HR,6200
2024-04-27,Monthly electricity bill – AT&T,613.02,AT&T,Finance,5300
2024-04-12,Monthly depreciation – office equipment,5641.15,Internal,Operations,6200
2024-10-23,Bi-weekly salary disbursement – IT,35582.56,ADP Payroll,IT,5900
2024-05-10,External audit fee – Grant Thornton FY review,34087.42,Grant Thornton,Executive,5500
2024-10-17,Legal consultation fee – BDO,19073.19,BDO,Executive,5500
2024-07-20,Accounting & audit services – BDO,13848.03,BDO,Marketing,5500
2024-03-14,Parking facility lease – Regus,26952.39,Regus,HR,5700
2024-03-13,Vendor invoice from HP Inc – due net 30,31174.31,HP Inc,Legal,2100
2024-03-28,Accrued bonus provision – Executive,3827.65,Internal,Executive,2200
2024-04-21,Software renewal – Microsoft 365 platform,7606.41,Microsoft 365,Executive,5400
2024-03-13,Bi-weekly salary disbursement – Operations,30639.87,ADP Payroll,Operations,5900
2024-08-15,Product sale to Walmart – order #1447,83362.18,Walmart,HR,4100
2024-04-16,Accounting & audit services – Ernst & Young,22181.95,Ernst & Young,IT,5500
2024-05-25,Performance bonus – sales rep #6223,4032.56,Sales Team,Sales,5600
2024-06-22,Vehicle depreciation – fleet #2272,4374.05,Internal,IT,6200
2024-05-09,Uber/Lyft rides – Operations travel,4039.18,Hilton,Operations,5200
2024-02-28,Monthly payroll – Operations department,111570.77,Paychex,Operations,5900
2024-07-13,Water and sewage charges – Pacific Gas & Electric,2354.32,Pacific Gas & Electric,IT,5300
2024-09-24,Outstanding payable to Staples,3216.67,Staples,Sales,2100
2024-12-20,Uber/Lyft rides – Finance travel,5924.07,Marriott Hotels,Finance,5200
2024-03-09,Monthly office rent – Regus building,21360.98,Regus,Operations,5700
2024-07-06,Inventory purchase – raw materials from Grainger,7187.2,Grainger,IT,1300
2024-02-09,Cyber liability insurance – State Farm,3337.83,State Farm,Executive,6100
2024-09-16,Property insurance renewal – Chubb,8528.13,Chubb,Marketing,6100
2024-10-03,Monthly depreciation – office equipment,2163.77,Internal,Operations,6200
2024-03-21,Monthly office rent – CBRE Group building,5459.32,CBRE Group,IT,5700
2024-07-02,Product sale to Best Buy – order #3261,83682.3,Best Buy,IT,4100
2024-04-07,Accounting & audit services – Ernst & Young,32548.86,Ernst & Young,Sales,5500
2024-04-05,Parking facility lease – WeWork,21420.45,WeWork,Finance,5700
2024-10-22,Agent commission – contract #6736,21606.84,Partner Network,Engineering,5600
2024-03-11,Furniture & fixtures depreciation,8095.01,Internal,Legal,6200
2024-06-12,Telephone/VoIP charges – Comcast Business,3234.8,Comcast Business,IT,5300
2024-02-18,Online sales revenue – batch #6780,60731.02,Target,Marketing,4100
2024-09-21,Overtime compensation – Marketing team,55017.77,Paychex,Marketing,5900
2024-08-17,Cyber liability insurance – AIG,10440.65,AIG,Marketing,6100
2024-05-12,Accounting & audit services – KPMG,19823.74,KPMG,Marketing,5500
2024-02-09,Influencer partnership – Mailchimp,3513.85,Mailchimp,Executive,5800
2024-04-30,Sales commission – Finance team Q2,1457.66,Partner Network,Finance,5600
2024-06-02,Water and sewage charges – Comcast Business,3183.53,Comcast Business,Operations,5300
2024-02-09,Stationery order #7329 from Staples,418.63,Staples,IT,5100
2024-12-16,External audit fee – BDO FY review,2441.84,BDO,Sales,5500
2024-02-23,Software renewal – AWS platform,7837.18,AWS,IT,5400
2024-07-28,HR consulting retainer – KPMG,35612.47,KPMG,IT,5500
2024-01-21,Legal consultation fee – Baker McKenzie,10822.09,Baker McKenzie,Sales,5500
2024-03-08,Internet service – ConEdison fiber plan,2530.95,ConEdison,HR,5300
2024-03-21,Employee wages – pay period #9485,72410.9,Internal HR,Legal,5900
2024-11-20,Product licensing revenue from Best Buy,27995.17,Best Buy,Engineering,4100
2024-09-10,Parking facility lease – JLL,12264.18,JLL,HR,5700
2024-11-20,Internet service – ConEdison fiber plan,2720.74,ConEdison,Engineering,5300
2024-02-05,Monthly office rent – Brookfield Properties building,12043.36,Brookfield Properties,Engineering,5700
2024-10-27,Net income transfer to retained earnings,181371.86,Internal,Executive,3100
2024-04-01,Professional services rendered to McKinsey,42843.67,McKinsey,Sales,4200
2024-06-22,Service contract revenue – Boston Consulting,93630.03,Boston Consulting,Engineering,4200
2024-12-19,Bi-weekly salary disbursement – Sales,53258.4,Paychex,Sales,5900
2024-10-31,Net income transfer to retained earnings,182607.63,Internal,Legal,3100
2024-07-07,Cash deposit at branch office,34083.76,Citibank,Executive,1100
2024-10-19,Legal consultation fee – KPMG,32643.34,KPMG,IT,5500
2024-06-25,Monthly depreciation – office equipment,6689.79,Internal,HR,6200
2024-07-10,Monthly electricity bill – Verizon,1162.78,Verizon,Operations,5300
2024-05-08,Tax preparation – Baker McKenzie engagement,8892.43,Baker McKenzie,HR,5500
2024-12-26,Travel reimbursement – employee #4624,1683.01,Hertz Rental,Finance,5200
2024-08-04,Developer tools subscription – Microsoft 365,3760.36,Microsoft 365,Legal,5400
2024-11-05,Stock replenishment order #8176,35077.54,MaterialWorld,IT,1300
2024-01-13,Storage unit rental – Regus,23878.93,Regus,Marketing,5700
2024-12-07,Cloud hosting charges – AWS,12476.6,AWS,Finance,5400
2024-05-31,Tax preparation – Ernst & Young engagement,19161.55,Ernst & Young,Legal,5500
2024-01-13,Internet service – ConEdison fiber plan,1119.3,ConEdison,Engineering,5300
2024-12-20,Professional services rendered to Bain & Co,23608.59,Bain & Co,IT,4200
2024-01-27,Accrued bonus provision – IT,24981.84,Tax Authority,IT,2200
2024-05-17,Referral bonus payout – partner Channel Partners,9759.36,Channel Partners,IT,5600
2024-07-31,Cloud hosting charges – AWS,11142.83,AWS,Executive,5400
2024-10-21,Co-working space rental – WeWork,9874.1,WeWork,Sales,5700
2024-05-31,Hotel accommodation – Marriott Hotels business trip,7870.05,Marriott Hotels,Marketing,5200
2024-01-09,Breakroom supplies from Office Depot,1729.85,Office Depot,Finance,5100
2024-06-23,Furniture & fixtures depreciation,5347.65,Internal,IT,6200
2024-09-19,Water and sewage charges – ConEdison,346.6,ConEdison,Finance,5300
2024-05-12,Storage unit rental – JLL,8130.13,JLL,Marketing,5700
2024-09-29,Property insurance renewal – AIG,13112.94,AIG,Operations,6100
2024-03-06,Tax preparation – Ernst & Young engagement,39652.68,Ernst & Young,Operations,5500
2024-10-24,Supplier bill #7615 – Sysco Corp,39638.71,Sysco Corp,Finance,2100
2024-11-13,Parking facility lease – WeWork,12146.97,WeWork,IT,5700
2024-08-20,Accounting & audit services – Baker McKenzie,43871.08,Baker McKenzie,HR,5500
2024-04-24,Water and sewage charges – Pacific Gas & Electric,395.1,Pacific Gas & Electric,Engineering,5300
2024-09-28,Accrued wages payable – Executive department,5366.62,Internal,Executive,2200
2024-10-12,Google Ads campaign – Executive budget Q2,10771.46,HubSpot,Executive,5800
2024-01-05,Stock replenishment order #8520,11456.99,SupplyChain Pro,Engineering,1300
2024-12-24,Printer toner and paper – W.B. Mason,390.46,W.B. Mason,Sales,5100
2024-10-31,Cyber liability insurance – Allianz,14146.93,Allianz,Executive,6100
2024-02-23,Monthly SaaS subscription – Google Workspace,4842.72,Google Workspace,Engineering,5400
2024-02-07,Vendor invoice from Staples – due net 30,20876.18,Staples,Executive,2100
2024-06-13,Accrued wages payable – Legal department,29756.18,Benefits Provider,Legal,2200
2024-12-24,Sales commission – Marketing team Q2,3807.34,Channel Partners,Marketing,5600
2024-03-12,Depreciation – computer hardware Q1,852.49,Internal,Marketing,6200
2024-03-16,Furniture & fixtures depreciation,7207.45,Internal,Sales,6200
2024-05-12,Property insurance renewal – Hartford,12933.5,Hartford,IT,6100
2024-12-18,Monthly office rent – WeWork building,24359.48,WeWork,Marketing,5700
2024-06-14,Telephone/VoIP charges – Pacific Gas & Electric,1200.78,Pacific Gas & Electric,Finance,5300
2024-09-23,Accrued bonus provision – IT,22862.27,Tax Authority,IT,2200
2024-01-18,Software renewal – Slack platform,14494.42,Slack,Sales,5400
2024-10-21,Developer tools subscription – Slack,1220.13,Slack,Operations,5400
2024-06-05,Stationery order #1821 from Office Depot,1715.54,Office Depot,Executive,5100
2024-07-22,Office supplies purchase from Quill,1006.78,Quill,Sales,5100
2024-07-28,Monthly electricity bill – AT&T,2442.75,AT&T,Operations,5300
2024-11-11,Flight booking – Sales team to conference,1664.24,Delta Airlines,Sales,5200
2024-03-18,Overtime compensation – Engineering team,23673.54,Gusto,Engineering,5900
2024-02-18,Desk accessories and organizers – Quill,59.08,Quill,Sales,5100
2024-07-29,Sales commission – Sales team Q1,5263.62,Partner Network,Sales,5600
2024-11-07,Car rental – United Airlines for site inspection,4615.46,United Airlines,Executive,5200
2024-05-15,Bi-weekly salary disbursement – Sales,15508.79,Paychex,Sales,5900
2024-06-06,Outstanding payable to Staples,26253.92,Staples,Finance,2100
2024-05-20,Office supplies purchase from Amazon Business,229.82,Amazon Business,IT,5100
2024-01-24,Agent commission – contract #4562,23019.52,Channel Partners,IT,5600
2024-07-29,Accrued wages payable – Sales department,14392.03,ADP Payroll,Sales,2200
2024-02-12,Channel partner commission – Channel Partners,1514.49,Channel Partners,Finance,5600
2024-07-26,Monthly depreciation – office equipment,2693.07,Internal,Executive,6200
2024-01-01,Contractor payment – Internal HR,9334.26,Internal HR,Marketing,5900
2024-02-21,Monthly depreciation – office equipment,1624.8,Internal,Marketing,6200
2024-02-23,Telephone/VoIP charges – Verizon,1721.09,Verizon,Operations,5300
2024-11-01,Car rental – Hilton for site inspection,3896.41,Hilton,Operations,5200
2024-02-23,Property insurance renewal – State Farm,4417.1,State Farm,Legal,6100
2024-12-02,Product licensing revenue from Target,104427.13,Target,Operations,4100
2024-10-02,Tax preparation – KPMG engagement,25329.36,KPMG,Finance,5500
2024-01-14,Monthly retainer – PwC Engagement advisory,13100.19,PwC Engagement,Executive,4200
2024-03-10,Revenue from Walmart – bulk purchase,102461.47,Walmart,Engineering,4100
2024-11-07,Annual license – AWS enterprise plan,3292.89,AWS,IT,5400
2024-09-23,Outstanding payable to Office Depot,4282.67,Office Depot,Operations,2100
2024-12-20,Employee wages – pay period #3990,92872.15,Gusto,Operations,5900
2024-11-10,General liability insurance premium – Allianz,2426.53,Allianz,Finance,6100
2024-11-13,Telephone/VoIP charges – Verizon,3243.15,Verizon,Engineering,5300
2024-02-09,Legal consultation fee – Grant Thornton,40624.49,Grant Thornton,IT,5500
2024-02-23,Agent commission – contract #3765,3475.43,Sales Team,IT,5600
2024-12-02,Inventory purchase – raw materials from MaterialWorld,19410.43,MaterialWorld,Marketing,1300
2024-06-01,Desk accessories and organizers – Amazon Business,530.06,Amazon Business,Legal,5100
2024-09-23,Telephone/VoIP charges – Verizon,1073.39,Verizon,Finance,5300
2024-03-23,Monthly electricity bill – Pacific Gas & Electric,3342.71,Pacific Gas & Electric,HR,5300
2024-01-14,Agent commission – contract #9844,23859.37,Internal Sales,IT,5600
2024-10-11,Sales commission – Executive team Q1,20970.9,Partner Network,Executive,5600
2024-04-30,Overtime compensation – Operations team,62542.13,Paychex,Operations,5900
2024-08-28,Per diem expenses – client visit Hilton,365.09,Hilton,Finance,5200
2024-08-07,Printer toner and paper – Quill,320.49,Quill,Marketing,5100
2024-08-18,Wholesale product shipment to Best Buy,149368.49,Best Buy,Engineering,4100
2024-03-20,Prior period adjustment – retained earnings,199856.56,Internal,Marketing,3100
2024-07-05,Printer toner and paper – Quill,2465.92,Quill,Legal,5100
2024-11-14,Office supplies purchase from Amazon Business,417.25,Amazon Business,Engineering,5100
2024-10-07,Supplier bill #5804 – HP Inc,19164.63,HP Inc,Executive,2100
2024-11-19,Point of sale transaction – store #6854,68639.39,Costco,Operations,4100
2024-07-25,Google Ads campaign – Sales budget Q4,6680.46,Trade Show Inc,Sales,5800
2024-08-17,Social media advertising – Trade Show Inc,6864.1,Trade Show Inc,Executive,5800
2024-11-06,Office supplies purchase from W.B. Mason,1539.55,W.B. Mason,Legal,5100
2024-11-28,Referral bonus payout – partner Partner Network,1426.74,Partner Network,IT,5600
2024-05-08,Retained earnings adjustment – FY closing,77945.61,Internal,Operations,3100
2024-04-23,Uber/Lyft rides – HR travel,4128.98,Hilton,HR,5200
2024-09-01,Point of sale transaction – store #3938,20357.37,Amazon,Finance,4100
2024-06-02,Bi-weekly salary disbursement – Legal,54450.56,Internal HR,Legal,5900
2024-08-12,Leasehold improvements amortization,5325.58,Internal,Sales,6200
2024-11-01,Printer toner and paper – Quill,2413.63,Quill,Finance,5100
2024-02-27,Accounting & audit services – Grant Thornton,36664.29,Grant Thornton,Executive,5500
2024-05-18,Outstanding receivable – project #8548,37330.14,GlobalTech,IT,1200
2024-07-22,Overtime compensation – Legal team,105193.73,Internal HR,Legal,5900
2024-03-14,Vendor invoice from Dell Technologies – due net 30,8475.91,Dell Technologies,Executive,2100
2024-10-21,Consulting engagement – PwC Engagement project,86710.27,PwC Engagement,Engineering,4200
2024-11-22,Dividend declaration – Q2 distribution,184674.53,Internal,HR,3100
2024-06-11,Annual license – Adobe Creative Cloud enterprise plan,1215.8,Adobe Creative Cloud,IT,5400
2024-08-02,Bulk materials procurement from Grainger,3277.66,Grainger,Sales,1300
2024-04-02,Flight booking – Finance team to conference,1039.23,Delta Airlines,Finance,5200
2024-08-20,Tax preparation – Ernst & Young engagement,3263.98,Ernst & Young,Operations,5500
2024-01-08,Influencer partnership – HubSpot,19314.03,HubSpot,Sales,5800
2024-02-12,Consulting engagement – Bain & Co project,85687.19,Bain & Co,Legal,4200
2024-07-04,Furniture & fixtures depreciation,3324.11,Internal,HR,6200
2024-11-01,Desk accessories and organizers – Office Depot,458.1,Office Depot,Legal,5100
2024-01-12,Car rental – Marriott Hotels for site inspection,3422.61,Marriott Hotels,Operations,5200
2024-05-25,Accounting & audit services – Ernst & Young,6952.08,Ernst & Young,Marketing,5500
2024-12-04,Natural gas utility – Verizon,3848.96,Verizon,Executive,5300
2024-08-29,Product licensing revenue from Costco,26436.29,Costco,Engineering,4100
2024-03-30,External audit fee – Grant Thornton FY review,47113.59,Grant Thornton,Sales,5500
2024-04-18,Workers compensation insurance – Chubb,5877.12,Chubb,Engineering,6100
2024-06-24,Parking facility lease – WeWork,15204.62,WeWork,Operations,5700
2024-12-06,Product sale to Target – order #7398,294.51,Target,Executive,4100
2024-07-19,Tax preparation – BDO engagement,1207.8,BDO,Executive,5500
2024-12-19,Referral bonus payout – partner Partner Network,24067.84,Partner Network,Finance,5600
2024-11-24,Consulting engagement – McKinsey project,88288.29,McKinsey,Marketing,4200
2024-06-01,External audit fee – Grant Thornton FY review,22544.21,Grant Thornton,IT,5500
2024-10-03,Accounting & audit services – Ernst & Young,16277.61,Ernst & Young,HR,5500
2024-05-28,Content marketing services – Meta Ads,13431.46,Meta Ads,Operations,5800
2024-04-05,Depreciation – computer hardware Q1,2998.13,Internal,Operations,6200
2024-08-12,Telephone/VoIP charges – ConEdison,4783.53,ConEdison,Finance,5300
2024-05-06,Breakroom supplies from W.B. Mason,472.11,W.B. Mason,IT,5100
2024-06-28,Leasehold improvements amortization,9931.33,Internal,Finance,6200
2024-04-22,Warehouse lease payment – Regus,18068.21,Regus,IT,5700
2024-02-13,External audit fee – Baker McKenzie FY review,27215.77,Baker McKenzie,Marketing,5500
2024-03-05,Storage unit rental – CBRE Group,3790.06,CBRE Group,Operations,5700
2024-12-14,Office supplies purchase from Office Depot,735.79,Office Depot,Engineering,5100
2024-04-19,Accrued tax liability – Q3,18176.06,Tax Authority,HR,2200
2024-03-12,Accrued tax liability – Q1,7470.32,Internal,Operations,2200
2024-02-29,Car rental – Delta Airlines for site inspection,227.18,Delta Airlines,Engineering,5200
2024-06-04,Revenue from Home Depot – bulk purchase,25557.48,Home Depot,Executive,4100
2024-02-07,Monthly payroll – Legal department,99470.77,Gusto,Legal,5900
2024-09-12,Telephone/VoIP charges – Comcast Business,3842.43,Comcast Business,Engineering,5300
2024-05-02,Trade show booth – Trade Show Inc expo,17255.83,Trade Show Inc,IT,5800
2024-07-24,Sales commission – Legal team Q3,15432.06,Channel Partners,Legal,5600
2024-06-17,Leasehold improvements amortization,7594.37,Internal,Marketing,6200
2024-02-21,Trade show booth – Trade Show Inc expo,894.32,Trade Show Inc,Sales,5800
2024-05-29,External audit fee – Baker McKenzie FY review,47666.03,Baker McKenzie,Operations,5500
2024-06-26,Overtime compensation – Finance team,48455.9,ADP Payroll,Finance,5900
2024-08-19,Product licensing revenue from Target,140633.08,Target,Sales,4100
2024-03-31,Monthly SaaS subscription – Jira Atlassian,11000.18,Jira Atlassian,Executive,5400
2024-05-06,Bi-weekly salary disbursement – Sales,94762.11,Internal HR,Sales,5900
2024-07-10,Vehicle depreciation – fleet #3340,4568.99,Internal,IT,6200
2024-02-10,ATM withdrawal for operations,10815.54,Bank of America,Operations,1100
2024-08-09,Trade payable – Dell Technologies procurement,17120.08,Dell Technologies,Legal,2100
2024-04-01,Content marketing services – Meta Ads,16515.8,Meta Ads,HR,5800
2024-09-15,Property insurance renewal – Chubb,10840.81,Chubb,IT,6100
2024-09-03,Consulting engagement – Deloitte project,48015.82,Deloitte,Operations,4200
2024-05-21,Monthly SaaS subscription – Slack,12370.82,Slack,Marketing,5400
2024-06-08,Cloud hosting charges – Jira Atlassian,1110.95,Jira Atlassian,Legal,5400
2024-10-14,Print media advertisement – HubSpot,15696.59,HubSpot,HR,5800
2024-09-27,HR consulting retainer – Ernst & Young,32544.1,Ernst & Young,Operations,5500
2024-09-19,Water and sewage charges – Verizon,4672.92,Verizon,Legal,5300
2024-02-07,Client payment due from Meridian Holdings,60599.29,Meridian Holdings,Operations,1200
2024-09-03,Product sale to Costco – order #1332,33917.66,Costco,Marketing,4100
2024-07-10,General liability insurance premium – State Farm,14058.37,State Farm,Sales,6100
2024-06-28,External audit fee – Grant Thornton FY review,46217.59,Grant Thornton,Finance,5500
2024-09-22,Tax preparation – Grant Thornton engagement,39628.85,Grant Thornton,IT,5500
2024-02-10,Breakroom supplies from Office Depot,638.28,Office Depot,Finance,5100
2024-05-25,Natural gas utility – Comcast Business,202.46,Comcast Business,IT,5300
2024-08-03,Internet service – Pacific Gas & Electric fiber plan,3269.5,Pacific Gas & Electric,Finance,5300
2024-09-14,Water and sewage charges – Verizon,1988.94,Verizon,Operations,5300
2024-12-19,HR consulting retainer – Baker McKenzie,1285.82,Baker McKenzie,Engineering,5500
2024-01-19,Internet service – Verizon fiber plan,3616.83,Verizon,Operations,5300
2024-06-10,Monthly payroll – Marketing department,31439.48,Internal HR,Marketing,5900
2024-04-18,Bi-weekly salary disbursement – Sales,61177.24,Paychex,Sales,5900
2024-05-19,Workers compensation insurance – Hartford,1347.99,Hartford,Sales,6100
2024-03-13,Product licensing revenue from Costco,145667.63,Costco,Engineering,4100
2024-05-11,Content marketing services – Meta Ads,3264.86,Meta Ads,Engineering,5800
2024-12-28,Service contract revenue – Bain & Co,62792.52,Bain & Co,Finance,4200
2024-01-29,Employee wages – pay period #8471,65681.51,Internal HR,Operations,5900
2024-06-28,Co-working space rental – Brookfield Properties,14216.36,Brookfield Properties,Legal,5700
2024-06-16,Uber/Lyft rides – IT travel,3657.97,Hertz Rental,IT,5200
2024-05-02,Leasehold improvements amortization,4219.21,Internal,HR,6200
2024-12-23,Tax preparation – Ernst & Young engagement,12935.68,Ernst & Young,HR,5500
2024-01-07,External audit fee – Grant Thornton FY review,38985.66,Grant Thornton,IT,5500
2024-01-20,Legal consultation fee – Ernst & Young,6499.54,Ernst & Young,HR,5500
2024-12-04,Monthly office rent – Brookfield Properties building,13372.57,Brookfield Properties,Marketing,5700
2024-03-13,Breakroom supplies from Office Depot,671.59,Office Depot,Executive,5100
2024-12-22,Water and sewage charges – AT&T,4452.95,AT&T,Engineering,5300
2024-03-01,Software renewal – AWS platform,12355.85,AWS,Finance,5400
2024-12-28,Customer balance – Meridian Holdings Q2 billing,62541.06,Meridian Holdings,Finance,1200
2024-06-13,Property insurance renewal – Hartford,7846.03,Hartford,Marketing,6100
2024-04-25,Stock replenishment order #9984,23920.43,Grainger,HR,1300
2024-11-20,Water and sewage charges – Pacific Gas & Electric,3119.34,Pacific Gas & Electric,HR,5300
2024-04-11,Monthly retainer – PwC Engagement advisory,18486.96,PwC Engagement,Executive,4200
2024-11-16,Accounting & audit services – Grant Thornton,4368.33,Grant Thornton,HR,5500
2024-11-03,Breakroom supplies from W.B. Mason,465.34,W.B. Mason,Sales,5100
2024-10-08,Depreciation – computer hardware Q2,4439.97,Internal,Marketing,6200
2024-09-21,Vehicle depreciation – fleet #4820,2792.99,Internal,Sales,6200
2024-02-26,Cyber liability insurance – AIG,10867.14,AIG,HR,6100
2024-12-04,Outstanding receivable – project #3342,8980.68,Pinnacle Industries,Marketing,1200
2024-03-23,Professional services rendered to Deloitte,28968.98,Deloitte,Marketing,4200
2024-11-11,Uber/Lyft rides – Engineering travel,3517.96,Delta Airlines,Engineering,5200
2024-11-06,Warehouse receipt – Grainger delivery,17093.2,Grainger,HR,1300
2024-07-21,Cloud hosting charges – Jira Atlassian,4587.39,Jira Atlassian,Executive,5400
2024-08-22,Accrued bonus provision – Finance,23179.25,Internal,Finance,2200
2024-04-15,Trade show booth – Google Ads expo,1851.58,Google Ads,Sales,5800
2024-08-22,Bank transfer received from PNC Financial,27361.24,PNC Financial,Engineering,1100
